Price,Adj Close,Close,High,Low,Open,Volume
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Date,,,,,,
2023-06-05,539.453857421875,555.0,560.0,555.0,560.0,16827391
2023-06-06,544.3138427734375,560.0,562.0,553.0,554.0,20228086
2023-06-07,552.0897216796875,568.0,568.0,560.0,561.0,27604813
2023-06-08,543.3418579101562,559.0,568.0,555.0,562.0,23080195
2023-06-09,549.1737670898438,565.0,566.0,561.0,561.0,19091713
2023-06-12,557.9216918945312,574.0,574.0,571.0,574.0,26392389
2023-06-13,576.3894653320312,593.0,594.0,589.0,593.0,56174363
2023-06-14,573.473388671875,590.0,591.0,587.0,590.0,23583314
2023-06-15,577.1353759765625,591.0,593.0,587.0,590.0,27392154
2023-06-16,575.1823120117188,589.0,590.0,584.0,590.0,38128802
2023-06-19,569.322998046875,583.0,585.0,582.0,583.0,14346885
2023-06-20,569.322998046875,583.0,585.0,579.0,579.0,16221413
2023-06-21,567.3699340820312,581.0,585.0,578.0,582.0,21703937
2023-06-26,560.5341796875,574.0,578.0,574.0,576.0,27142262
2023-06-27,558.5811157226562,572.0,575.0,569.0,570.0,21501718
2023-06-28,560.5341796875,574.0,579.0,571.0,579.0,18175426
2023-06-29,559.5576171875,573.0,580.0,570.0,578.0,16937929
2023-06-30,562.4871826171875,576.0,576.0,568.0,570.0,22654976
2023-07-03,565.4168701171875,579.0,580.0,576.0,578.0,14785585
2023-07-04,571.2761840820312,585.0,585.0,580.0,585.0,17219541
2023-07-05,568.3464965820312,582.0,589.0,579.0,589.0,14913592
2023-07-06,551.745361328125,565.0,574.0,565.0,573.0,28564891
2023-07-07,551.745361328125,565.0,572.0,563.0,565.0,18796190
2023-07-10,551.745361328125,565.0,573.0,565.0,567.0,18454982
2023-07-11,563.4637451171875,577.0,577.0,570.0,574.0,17850636
2023-07-12,564.4403076171875,578.0,578.0,572.0,574.0,15588228
2023-07-13,571.2761840820312,585.0,590.0,585.0,587.0,25442137
2023-07-14,577.1353759765625,591.0,591.0,587.0,589.0,23121873
2023-07-17,577.1353759765625,591.0,591.0,587.0,588.0,13807834
2023-07-18,567.3699340820312,581.0,588.0,580.0,587.0,20932006
2023-07-19,567.3699340820312,581.0,587.0,579.0,584.0,22499123
2023-07-20,565.4168701171875,579.0,584.0,578.0,580.0,15108109
2023-07-21,546.8626098632812,560.0,563.0,557.0,560.0,46711021
2023-07-24,544.9096069335938,558.0,563.0,557.0,557.0,25268835
2023-07-25,555.6514282226562,569.0,569.0,561.0,561.0,19590349
2023-07-26,552.7218627929688,566.0,571.0,563.0,569.0,13314305
2023-07-27,555.6514282226562,569.0,570.0,566.0,570.0,12200358
2023-07-28,553.6983642578125,567.0,573.0,565.0,569.0,18540078
